Time [s],X_pos_series_1,X_pos_series_2,Y_pos_series_1,Y_pos_series_2,Z_pos_series_1,Z_pos_series_2,Roll_Pitch_series_1,Roll_Pitch_series_2,Velocities_series_1,Velocities_series_2,Velocities_series_3
0.0000,0.3727,0.3727,-0.3145,-0.3145,1.0000,1.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.0170,0.3727,0.3727,-0.3145,-0.3145,1.0000,1.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.0340,0.3727,0.3727,-0.3145,-0.3145,1.0000,1.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.0510,0.3727,0.3727,-0.3145,-0.3145,1.0000,1.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.0670,0.3727,0.3727,-0.3145,-0.3145,1.0000,1.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.0840,0.3727,0.3727,-0.3145,-0.3145,1.0000,1.0000,0.0000,-0.0000,0.0000,0.0000,0.0000
0.1010,0.3727,0.3727,-0.3145,-0.3145,1.0000,1.0000,0.0000,-0.0000,0.0000,0.0000,0.0000
0.1170,0.3727,0.3727,-0.3145,-0.3145,1.0000,1.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000
0.1340,0.3727,0.3727,-0.3145,-0.3145,1.0000,1.0000,0.0000,-0.0000,0.0000,0.0000,0.0000
0.1510,0.3727,0.3727,-0.3145,-0.3145,1.0000,1.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000
0.1680,0.3727,0.3727,-0.3145,-0.3145,1.0000,1.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000
0.1840,0.3727,0.3727,-0.3145,-0.3145,1.0000,1.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000
0.2000,0.3727,0.3727,-0.3145,-0.3145,1.0000,1.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000
0.2170,0.3727,0.3727,-0.3145,-0.3145,1.0000,1.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000
0.2340,0.3727,0.3727,-0.3145,-0.3145,1.0000,1.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000
0.2500,0.3727,0.3727,-0.3145,-0.3145,1.0000,1.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000
0.2670,0.3727,0.3727,-0.3145,-0.3145,1.0000,1.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000
0.2840,0.3727,0.3727,-0.3145,-0.3145,1.0000,1.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000
0.3010,0.3727,0.3727,-0.3145,-0.3145,1.0000,1.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000
0.3180,0.3727,0.3727,-0.3145,-0.3145,1.0000,1.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000
0.3350,0.3727,0.3727,-0.3145,-0.3145,1.0000,1.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000
0.3510,0.3727,0.3727,-0.3145,-0.3145,1.0000,1.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000
0.3670,0.3727,0.3727,-0.3145,-0.3145,1.0000,1.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000
0.3840,0.3727,0.3727,-0.3145,-0.3145,1.0000,1.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000
0.4010,0.3727,0.3727,-0.3145,-0.3145,1.0000,1.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000
0.4170,0.3727,0.3727,-0.3145,-0.3145,1.0000,1.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000
0.4340,0.3727,0.3727,-0.3145,-0.3145,1.0000,1.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000
0.4500,0.3727,0.3727,-0.3145,-0.3145,1.0000,1.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000
0.4670,0.3727,0.3727,-0.3145,-0.3145,1.0000,1.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000
0.4840,0.3727,0.3727,-0.3145,-0.3145,1.0000,1.0000,-0.0000,0.0000,-0.0000,-0.0000,-0.0000
0.5000,0.3727,0.3727,-0.3145,-0.3145,1.0000,1.0000,-0.0000,0.0000,-0.0000,-0.0000,-0.0000
0.5160,0.3727,0.3727,-0.3145,-0.3145,1.0000,1.0000,-0.0000,0.0000,-0.0000,-0.0000,-0.0000
0.5320,0.3727,0.3727,-0.3145,-0.3145,1.0000,1.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000
0.5490,0.3727,0.3727,-0.3145,-0.3145,1.0000,1.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000
0.5660,0.3727,0.3727,-0.3145,-0.3145,1.0000,1.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000
0.5830,0.3727,0.3727,-0.3145,-0.3145,1.0000,1.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000
0.5990,0.3727,0.3727,-0.3145,-0.3145,1.0000,1.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000
0.6150,0.3727,0.3727,-0.3145,-0.3145,1.0000,1.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000
